name,year,rating,m_score,votes
The Elephant Man,1980,78.0,78.0,247803
Relatos salvajes,2014,77.0,77.0,205211
Before Sunrise,1995,77.0,77.0,320224
Logan,2017,77.0,77.0,787031
The Princess Bride,1987,77.0,77.0,435983
Paper Moon,1973,77.0,77.0,49732
Mononoke-hime,1997,76.0,76.0,406558
Full Metal Jacket,1987,78.0,78.0,758469
Heat,1995,76.0,76.0,675544
Guardians of the Galaxy,2014,76.0,76.0,1216460
Terminator 2: Judgment Day,1991,75.0,75.0,1122581
The Wolf of Wall Street,2013,75.0,75.0,1462162
Dial M for Murder,1954,75.0,75.0,180515
Life of Brian,1979,77.0,77.0,408741
Stand by Me,1986,75.0,75.0,417248
Rush,I) (2013,74.0,74.0,490936
Catch Me If You Can,2002,75.0,75.0,1020642
Inception,2010,74.0,74.0,2411871
Interstellar,2014,74.0,74.0,1908942
Oldeuboi,2003,77.0,77.0,596074
Per qualche dollaro in più,1965,74.0,74.0,262695
How to Train Your Dragon,2010,75.0,75.0,760860
Prisoners,2013,70.0,70.0,745374
The Matrix,1999,73.0,73.0,1956960
Casino,1995,73.0,73.0,534492
Mr. Smith Goes to Washington,1939,73.0,73.0,117594
Into the Wild,2007,73.0,73.0,634933
Mandariinid,2013,73.0,73.0,47511
Die Hard,1988,72.0,72.0,901054
A Beautiful Mind,2001,72.0,72.0,950072
Gran Torino,2008,72.0,72.0,789364
Groundhog Day,1993,72.0,72.0,650286
Warrior,2011,71.0,71.0,481683
The Big Lebowski,1998,71.0,71.0,826904
Hacksaw Ridge,2016,71.0,71.0,549295
Good Will Hunting,1997,70.0,70.0,1003284
Batman Begins,2005,70.0,70.0,1502698
Green Book,2018,69.0,69.0,518764
Rocky,1976,70.0,70.0,598034
Le fabuleux destin d'Amélie Poulain,2001,69.0,69.0,769459
Inglourious Basterds,2009,69.0,69.0,1491201
Kill Bill: Vol. 1,2003,69.0,69.0,1140369
Avengers: Infinity War,2018,68.0,68.0,1122511
Braveheart,1995,68.0,68.0,1055435
Requiem for a Dream,2000,71.0,71.0,861386
Jurassic Park,1993,68.0,68.0,1013431
Gladiator,2000,67.0,67.0,1535543
3 Idiots,2009,67.0,67.0,410678
Fight Club,1999,66.0,66.0,2185331
The Prestige,2006,66.0,66.0,1363930
"Lock, Stock and Two Smoking Barrels",1998,66.0,66.0,595024
Butch Cassidy and the Sundance Kid,1969,66.0,66.0,220709
Se7en,1995,65.0,65.0,1696852
Scarface,1983,65.0,65.0,865720
Indiana Jones and the Last Crusade,1989,65.0,65.0,770806
Léon,1994,64.0,64.0,1188881
The Sixth Sense,1999,64.0,64.0,1010748
The Shining,1980,66.0,66.0,1048666
Shutter Island,2010,63.0,63.0,1360218
Pirates of the Caribbean: The Curse of the Black Pearl,2003,63.0,63.0,1153139
American History X,1998,62.0,62.0,1142978
V for Vendetta,2005,62.0,62.0,1140432
The Help,2011,62.0,62.0,472265
The Green Mile,1999,61.0,61.0,1334502
Judgment at Nuremberg,1961,60.0,,79920
La vita è bella,1997,59.0,,710857
